date,ouv,haut,bas,clot,vol,devise
2024-10-24 09:00:00,169.68,169.84,169.4,169.5,15360,EUR
2024-10-24 09:02:00,169.58,169.58,169.36,169.36,312,EUR
2024-10-24 09:04:00,169.38,169.48,169.34,169.46,1626,EUR
2024-10-24 09:06:00,169.38,169.72,169.38,169.5,3078,EUR
2024-10-24 09:08:00,169.54,169.7,169.54,169.6,751,EUR
2024-10-24 09:10:00,169.64,169.76,169.64,169.72,889,EUR
2024-10-24 09:12:00,169.66,169.92,169.66,169.86,586,EUR
2024-10-24 09:14:00,169.86,169.92,169.76,169.9,483,EUR
2024-10-24 09:16:00,169.86,169.86,169.7,169.76,830,EUR
2024-10-24 09:18:00,169.72,169.8,169.54,169.54,2058,EUR
2024-10-24 09:20:00,169.5,169.5,169.16,169.18,3198,EUR
2024-10-24 09:22:00,169.1,169.12,168.86,169.06,2535,EUR
2024-10-24 09:24:00,169.02,169.34,169.02,169.34,1273,EUR
2024-10-24 09:26:00,169.08,169.16,169.04,169.14,1415,EUR
2024-10-24 09:28:00,169.16,169.18,169.04,169.16,989,EUR
2024-10-24 09:30:00,169.16,169.36,169.16,169.16,5131,EUR
2024-10-24 09:32:00,169.14,169.16,169.0,169.02,811,EUR
2024-10-24 09:34:00,168.98,169.16,168.98,169.08,889,EUR
2024-10-24 09:36:00,169.04,169.16,168.98,169.02,1224,EUR
2024-10-24 09:38:00,169.02,169.06,168.96,168.96,675,EUR
2024-10-24 09:40:00,168.92,169.0,168.86,169.0,822,EUR
2024-10-24 09:42:00,169.02,169.1,168.98,169.1,188,EUR
2024-10-24 09:44:00,169.16,169.46,169.16,169.46,615,EUR
2024-10-24 09:46:00,169.48,169.56,169.48,169.56,2162,EUR
2024-10-24 09:48:00,169.54,169.7,169.54,169.7,564,EUR
2024-10-24 09:50:00,169.72,169.72,169.62,169.62,136,EUR
2024-10-24 09:52:00,169.64,169.76,169.62,169.74,261,EUR
2024-10-24 09:54:00,169.72,169.82,169.72,169.82,170,EUR
2024-10-24 09:56:00,169.86,169.9,169.82,169.84,444,EUR
2024-10-24 09:58:00,169.84,169.92,169.84,169.92,82,EUR
2024-10-24 10:00:00,169.92,170.16,169.92,170.06,2277,EUR
2024-10-24 10:02:00,170.06,170.16,169.96,170.1,929,EUR
2024-10-24 10:04:00,170.08,170.12,170.0,170.08,1475,EUR
2024-10-24 10:06:00,170.12,170.12,169.96,169.96,297,EUR
2024-10-24 10:08:00,169.96,170.16,169.96,170.06,410,EUR
2024-10-24 10:10:00,170.04,170.1,169.98,170.04,572,EUR
2024-10-24 10:12:00,170.06,170.3,170.06,170.26,1599,EUR
2024-10-24 10:14:00,170.3,170.48,170.3,170.48,1423,EUR
2024-10-24 10:16:00,170.48,170.52,170.48,170.5,818,EUR
2024-10-24 10:18:00,170.48,170.52,170.38,170.38,446,EUR
2024-10-24 10:20:00,170.42,170.5,170.34,170.5,1074,EUR
2024-10-24 10:22:00,170.48,170.48,170.38,170.48,1055,EUR
2024-10-24 10:24:00,170.5,170.54,170.4,170.4,1115,EUR
2024-10-24 10:26:00,170.4,170.4,170.32,170.32,287,EUR
2024-10-24 10:28:00,170.32,170.34,170.26,170.34,355,EUR
2024-10-24 10:30:00,170.4,170.46,170.34,170.46,438,EUR
2024-10-24 10:32:00,170.5,170.52,170.5,170.5,92,EUR
2024-10-24 10:34:00,170.48,170.5,170.4,170.44,161,EUR
2024-10-24 10:36:00,170.48,170.54,170.44,170.46,427,EUR
2024-10-24 10:38:00,170.48,170.54,170.42,170.42,486,EUR
2024-10-24 10:40:00,170.38,170.4,170.38,170.4,74,EUR
